,period,subject_code,status,banner,odoo
0,202420,ADMD0030,OK,,
1,202420,ADMD0031,OK,,
2,202420,ADMD0040,OK,,
3,202420,ADMD0044,OK,,
4,202420,ADMD0046,OK,,
5,202420,AQTR2004,OK,,
6,202420,AQTT2663,Fail,( ( FADT2668 6.0 O A163 6 ) A ( FADR2116 6.0 O A118 6 ) ) O DUMZ0000 6.0 O ( ( FADT2668 6.0 O A163 6 ) A ARQS0002 6.0 ) O ( TADZ1020 6.0 A TEXP2030 6.0 ),( ( FADT2668 6.0 O A163 6 ) A ( FADR2116 6.0 O A118 6 ) ) O DUMZ0000 6.0 O ( ( FADT2668 6.0 O A163 6 )
7,202420,AQTT3688,OK,,
8,202420,AQTU2209,OK,,
9,202420,ARQI0002,OK,,
